abbrev,full
A/BK,address book
A/CLCK,alarm clock
ANML,animal
ANKLT,anklet
B/PCK,backpack
BAG,bag
SD/BAG,bag (shoulder)
BALI SPA,bali spa
BALL,ball
BNGL,bangle
BSKT,basket
BEACHBAG,beach bag
BEADKIT,bead kit
B/CTN,beaded curtain
BELT,belt
CARD BDAY,birthday card
BK/END,bookend
B/MARK,bookmark
BWL,bowl
BX,box
BRCLT,bracelet
BROOCH,brooch
BUDDHA,buddha
CABT,cabinet
CNDL,candle
C/DISH,candle dish
C/HLDR,candle holder
C/POT,candle pot
CNVS,canvas
CARD,card
CARDSET,card set
CD/HLDR,cd holder
CHR,chair
CHST,chest
CHM,chime
CUBE,cube
CUP&SAUCR,cup and saucer
CUP&SPN,cup and spoon
CTN,curtain
CUSH,cushion
C/CVR,cushion cover
C/FILL,cushion filler
D/STOP,doorstop
D/CTCHR,dream catcher
E/RING,earring
E/CUP,eggcup
FGR,figure
FLIPFLOP,flipflops
F/CNDL,floating candles
GRLD,garland
G/BAG,giftbag
H/BAG,handbag
HAT,hat
I/CONE,incense cone
I/HLDR,incense holder
I/SET,incense set
I/STICK,incense stick
J/BX,jewellery box
J/STND,jewellery stand
K/RING,keyring
L/SHADE,lamp shade
L/BSKT,laundry basket
MGNT,magnet
M/CASE,make up case
MALA,mala
MBLE,marble
MSK,mask
MIR,mirror
M/BX,moneybox
MUG,mug
N/LCE,necklace
N/BK,notebook
OIL,oil   
M/OIL,oil (massage)
O/BRNR,oil burner
P/CASE,pencil case
PDNT,pendant
P/BTLE,perfume bottle
P/CHRM,phone charm
P/ALB,photo album
P/F,photo frame
P/CNDL,pillar candle
PLQ,plaque
PLT,plate
PRS,purse
PYMID,pyramid
RING,ring  
R/HLDR,ring holder
BIN,rubbish bin
RUG,rug
S&P,salt and pepper
SARONG,sarong
SCRF,scarf
CNDLxN,set of candles
T/LTxN,set of tealights
SHLF,shelf
SP/BAG,shopping bag
SOAP,soap  
S/STN,soapstone
SPNR,spinner
STL,stool
S/CTCHR,sun catcher
SUNLIGHT,sunlight
SUNSEAL,sunseal
T/CNDL,taper candle
T/LT,tealight
T/HLDR,tealight holder
T/POT,teapot
THRW,throw
UMBR,umbrella
VASE,vase
V/CNDL,votive candle
W/CLCK,wall clock
W/HANG,wall hangings
WRAP,wrapping paper
ALUM,aluminium
BBOO,bamboo
BANANA,banana fibre
CMC,ceramic
COCO,coconut
CPR,copper
COT,cotton
ELSTC,elastic
ENML,enamel
EPXY,epoxy
GLS,glass
GLTR,glitter
MBL,marble
MTL,metal
PWTR,pewter
POLY,plastic 
PLYSTR,polyester
RAY,rayon
RSN,resin
RIBBN,ribbon
SLK,silk
SPNGE,sponge
STN,stone
THRD,thread
WD,wood
BLK,black
B&W,black and white
BLU,blue
BRN,brown
BURG,burgundy
CLR,clear
CRM,cream
GLD,gold
GRN,green
GRY,grey
IVO,ivory
NAT,natural
ORG,orange
PNK,pink
PPL,purple
SLVR,silver
TURQ,turquoise
WHT,white
YLW,yellow
DK/,dark
LT/,light
BFLY,butterfly
CHK,chicken
CROC,crocadille
DINO,dinosaur
DOLPH,dolphin
DOV,dove
DRGN,dragon
DFLY,dragonfly
ELE,elephant
GKO,gecko
GRF,giraffe
HPPO,hippopotamaus
HRSE,horse
HBIRD,hummingbird
J/FISH,jellyfish
LBUG,ladybug
MNK,monkey
MOU,mouse
OCTO,octopus
PNG,penguin
P/BR,polar bear
BUNY,rabbit
RDEER,reindeer
RHNO,rhino
SGULL,seagulls
SNK,snake
TRTL,turtle
SSS,snakes
ZEB,zebra
CHOC,chocolate
CINN,cinnamon
CFE,coffee
EUCA,eucalyptus
GNGR,ginger
HNY,honey  
H/SKL,honeysuckle
JAS,jasmine
LVDR,lavender
L/GRS,lemongrass
R/BRY,raspberry
S/WD,sandalwood
S/BRY,strawberry
VNL,vanilla
CCAKE,cupcake
DMD,diamond shape
FLWR,flower
HRT,heart
HEX,hexagonal
LRG,large
MED,medium
MROOM,mushroom
RECT,rectange
RND,round
SML,small
SNWBL,snowball
SNWFLK,snowflake
S/MAN,snowman
SQR,square
STR,star
TDROP,teardrop
ANTQ,antique
BDS,beads
HANZI,chinese characters 
XMAS,christmas
EMBR,embroidered
FRST,frosted
SPEC,glasses/sunglasses
IRID,iridescent
KNTD,knitted
MTLC,metallic
MOTLD,mottled
MLTCOL,multicoloured
PPR,paper
PTN,pattern
PRL,pearlescent finish
PLSH,plushie
RBOW,rainbow
SCNT,scented
SEQ,sequin
S/SKIN,snakeskin
STRG,string
SYNTH,synthetic
BEAR,teddybear
U/JACK,union jack
V/TINE,valentine
W/,with
WVN,woven
P/POURRI,potpourri
YLANG,ylang ylang
FRANG,frangipani
P/WGHT,paper weight
C/STICK,candle stick
C/BRY,cranberry
D/CNDL,dinner candle
AL/CLCK,alarm clock
STRP,stripes
B/CHINA,bone china
FAB,fabric
TRICOL,tricolour
TERA,terracotta
BEI,beige
HNG,hanging
F'GARDEN,fantasy garden
S/CNDL,scented candle
CLCK,clock
HW/BOTTLE,hotwater bottle
J/BOX,jewellery box
CMIC,ceramic
F/SPIKE,flower spike
W/PAPER,wrapping paper
P/ALBUM,photo album
I,incense
G/SET,giftset
CRACKL,crackle
TIN,tin
SCENT,scented
SCENTED,scented
RED,red
BERRIES,berries
VOTIVE,votive candle
CNDL/POT,candle pot
HNDL,handle
HLDR,holder
JAMJAR,jam jar
FLOAT/CNDL,floating candle 
LED,LED
ANIM,animal
EMBOSS,embossed
STND,stand
